企業キー,法人番号,企業名,EDINETコード,証券コード,提出日,対象期間終了日,最新収集アプリver,データ整合性フラグ,分析候補,企業分類推定,総資産,純資産,負債,自己資本比率,営業利益,経常利益,当期利益,営業キャッシュフロー,投資キャッシュフロー,財務キャッシュフロー,現金及び現金同等物,ROE,平均年齢,平均年間給与,平均勤続年数,研究開発費,売上高・営業収益,従業員数,女性管理職比率,男性育休取得率,男女賃金差異_全労働者,男女賃金差異_正規,男女賃金差異_非正規,詳細業種1,詳細業種1信頼度,詳細業種2,詳細業種2信頼度,詳細業種3,詳細業種3信頼度,詳細業種候補,詳細業種根拠キーワード,しょくばらぼ_JOIN,しょくばらぼ_結合方法,しょくばらぼ_取得項目数,しょくばらぼ_企業名,しょくばらぼ_法人番号,しょくばらぼ_証券コード,しょくばらぼ_業種,しょくばらぼ_都道府県,しょくばらぼ_企業規模,しょくばらぼ_市場区分,しょくばらぼ_正社員の有給休暇取得日数_数値,しょくばらぼ_年次有給休暇取得率（全体）-取得率_数値,しょくばらぼ_年次有給休暇取得率（雇用管理区分）-取得率（一覧）_数値,しょくばらぼ_月平均所定外労働時間_数値,しょくばらぼ_対象労働者全体の月平均の法定時間外労働時間と法定休日労働時間の合計-平均残業時間（詳細）_数値,しょくばらぼ_平均の法定時間外労働60時間以上の労働者の数_数値,しょくばらぼ_男女の賃金の差異-全労働者_数値,しょくばらぼ_男女の賃金の差異-うち正規雇用労働者_数値,しょくばらぼ_男女の賃金の差異-うち非正規雇用労働者_数値,しょくばらぼ_正社員の平均継続勤務年数_数値,しょくばらぼ_従業員の平均年齢_数値,しょくばらぼ_管理職に占める女性の割合_数値,しょくばらぼ_役員に占める女性の割合_数値,しょくばらぼ_育児休業取得率（男性）-男性取得率（一覧）_数値,しょくばらぼ_育児休業取得率（女性）-女性取得率（一覧）_数値,しょくばらぼ_テレワーク制度-可否,しょくばらぼ_副業・兼業-可否,しょくばらぼ_多様な正社員制度-制度-職務限定正社員,しょくばらぼ_多様な正社員制度-制度-勤務地限定正社員,しょくばらぼ_多様な正社員制度-制度-短時間正社員,しょくばらぼ_研修制度-有無,しょくばらぼ_メンター制度-有無,しょくばらぼ_自己啓発支援制度-有無,しょくばらぼ_キャリアコンサルティング制度-有無,しょくばらぼ_社内検定制度-有無,しょくばらぼ_インターンシップの受入-可否,しょくばらぼ_職場見学・職場体験の受入-可否,しょくばらぼ_えるぼし認定-認定有無,しょくばらぼ_プラチナえるぼし認定-認定有無,しょくばらぼ_くるみん-認定有無,しょくばらぼ_プラチナくるみん-認定有無,しょくばらぼ_健康経営銘柄-認定有無,女性活躍DB_JOIN,女性活躍DB_結合方法,女性活躍DB_取得項目数,女性活躍DB_企業名,女性活躍DB_法人番号,女性活躍DB_証券コード,女性活躍DB_業種,女性活躍DB_業種(詳細分類),女性活躍DB_都道府県,女性活躍DB_企業規模,女性活躍DB_市場区分,女性活躍DB_5.男女別の育児休業取得率-男性(%)_数値,女性活躍DB_5.男女別の育児休業取得率-女性(%)_数値,女性活躍DB_6.一月当たりの労働者の平均残業時間-平均残業時間(時間)_数値,女性活躍DB_8.(1)年次有給休暇の取得率-対象労働者(%)_数値,女性活躍DB_8.(2)年次有給休暇の取得率(区)-有給休暇取得率(%)_数値,女性活躍DB_10.管理職に占める女性労働者の割合-割合(%)_数値,女性活躍DB_11.役員に占める女性の割合-割合(%)_数値,女性活躍DB_14.男女の賃金の差異1-全労働者(%)_数値,女性活躍DB_14.男女の賃金の差異2-うち正規雇用労働者(%)_数値,女性活躍DB_14.男女の賃金の差異3-うち非正規雇用労働者(%)_数値,女性活躍DB_フレックスタイム制度,女性活躍DB_在宅勤務・テレワーク,女性活躍DB_短時間勤務制度,女性活躍DB_病気・不妊治療休暇,女性活躍DB_年次有給休暇時間単位取得制度,女性活躍DB_データの最終更新日
corporate_number:7010001061629,7.01E+12,東京貿易ホールディングス株式会社,E02625,,2026/6/26,2026/3/31,0.11.24,,yes,operating_company_candidate,62048000000,45680000000,16367000000,0.726,4148000000,4594000000,2677000000,1201000000,-843000000,-1488000000,17064000000,0.0611,43.8,9922000,6.6,331000000,63783000000,124,,,,,,鉄鋼/非鉄,0.2,機械,0.17,建設,0.13,鉄鋼/非鉄:0.20 | 機械:0.17 | 建設:0.13,"鉄鋼, 建設, 建設機械, 機械, ソフトウェア, 発電, 石油, 非鉄",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:7010001062783,7.01E+12,株式会社アルゴグラフィックス,E05018,75950,2026/6/19,2026/3/31,0.11.24,,yes,operating_company_candidate,80966517000,51378714000,29587803000,0.603,10745268000,11419358000,19190410000,4663332000,12947326000,-21447420000,32213267000,0.362,42.3,8064000,13,352608000,71526005000,586,0.0526,1,0.744,0.747,0.741,ソフトウェア,0.19,コンサル,0.19,半導体,0.14,ソフトウェア:0.19 | コンサル:0.19 | 半導体:0.14,"ソフトウェア, 戦略, 半導体, 電子部品, 証券, クラウド, コンサル, 自動車",matched,corporate_number,112,株式会社アルゴグラフィックス,7.01E+12,,G:情報通信業,13:東京都,551人,,,,69.7,,10.8,,73.1,73.6,70.9,,,3.6,3.3,75,100,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,security_code,68,株式会社アルゴグラフィックス,7010001062783,7595,情報通信業,情報通信業,東京都,501～1000人,プライム（東証）,83.3,100.0,10.4,,75.2,5.3,8.0,74.4,74.7,74.1,,,短時間勤務制度,,,2026年07月01日
corporate_number:7010001065142,7.01E+12,ＮＴＴ株式会社,E04430,94320,2026/6/16,2026/3/31,0.11.24,"総資産と純資産+負債が大きく不一致(総資産=46721259000000.0, 純資産=9727623000000.0, 負債=8006647000000.0)",yes,operating_company_candidate,4.67213E+13,9.72762E+12,8.00665E+12,0.208,1.70622E+12,9.01422E+11,1.03703E+12,1.48519E+12,-1.02342E+12,4.41332E+11,1.92188E+12,0.104,41.4,10562434,15.6,2.78649E+11,1.44091E+13,2606,0.127,,0.791,0.785,0.798,不動産/デベロッパー,0.13,証券,0.13,通信キャリア,0.13,不動産/デベロッパー:0.13 | 証券:0.13 | 通信キャリア:0.13,"不動産, 証券, ソフトウェア, 半導体, 携帯電話, 通信設備, 宇宙, 銀行",matched,corporate_number,115,ＮＴＴ株式会社,7.01E+12,,G:情報通信業,13:東京都,2950人,,,76,76,,,0,79.1,78.5,79.8,,,12.7,37,113.3,120.8,,,,,,,,,,,,,1:有,0:無,1:有,1:有,0:無,matched,security_code,62,NTT株式会社,7010001065142,9432,情報通信業,情報通信業,東京都,1001～5000人,プライム（東証）,113.3,120.8,,76.0,76.0,12.7,37.0,79.1,78.5,79.8,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2026年06月22日
corporate_number:7010001072436,7.01E+12,明豊ファシリティワークス株式会社,E05377,17170,2026/6/22,2026/3/31,0.11.24,,yes,operating_company_candidate,8539798000,6091934000,2447864000,0.71,1269359000,1270851000,937683000,1457635000,-244428000,-515354000,1527191000,0.161,46.5,12177000,10.6,4909000,6114681000,208,0.123,,,,,建設,0.42,教育,0.11,鉄道/輸送機器,0.09,建設:0.42 | 教育:0.11 | 鉄道/輸送機器:0.09,"施工, 建設, 教育, 鉄道, ゲーム, 証券, 人材, 建築",matched,corporate_number,88,明豊ファシリティワークス株式会社,7.01E+12,,L:学術研究，専門・技術サービス業,13:東京都,237人,,,,52.4,,13,,,,,,,12,14.3,60,100,,,,,,,,,,,,,1:有,0:無,1:有,0:無,0:無,matched,security_code,62,明豊ファシリティワークス株式会社,7010001072436,1717,学術研究、専門・技術サービス業,学術研究、専門・技術サービス業,東京都,101～300人,スタンダード（東証）,60.0,100.0,13.0,,52.4,12.0,14.3,,,,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,,2026年06月17日
corporate_number:7010001076098,7.01E+12,エコナックホールディングス株式会社,E00576,35210,2026/6/29,2026/3/31,0.11.24,,yes,operating_company_candidate,6000217000,4967762000,1032454000,0.825,306637000,307268000,160252000,446982000,-288967000,-367034000,1292184000,0.033,46.8,5172000,14.4,,2694334000,8,,,,,,不動産/デベロッパー,0.39,食品/飲料,0.3,証券,0.17,不動産/デベロッパー:0.39 | 食品/飲料:0.30 | 証券:0.17,"食品, 不動産, 証券, 賃貸, 卸売, 観光, 材料, 店舗",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:7010001076791,7.01E+12,株式会社ゴールドクレスト,E03971,88710,2026/6/17,2026/3/31,0.11.24,,yes,operating_company_candidate,3.2303E+11,1.35982E+11,1.87048E+11,0.421,8909000000,8559000000,5862000000,-5024000000,-1.02935E+11,88745000000,58418000000,0.043,31.9,7644063,8.3,,30445000000,78,0.136,1,0.903,0.956,0.774,不動産/デベロッパー,0.61,旅行/レジャー,0.15,広告/マーケティング,0.07,不動産/デベロッパー:0.61 | 旅行/レジャー:0.15 | 広告/マーケティング:0.07,"不動産, 分譲, ホテル, 賃貸, オフィスビル, 広告, 証券, 建築",matched,corporate_number,34,株式会社ゴールドクレスト,7.01E+12,,K:不動産業，物品賃貸業,13:東京都,120人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,25,株式会社ゴールドクレスト,7010001076791,8871,不動産業、物品賃貸業,不動産業、物品賃貸業,東京都,101～300人,スタンダード（東証）,,,,85.0,,,,,,,,,,,,2025年12月25日
corporate_number:7010001078061,7.01E+12,東京海上ホールディングス株式会社,E03847,87660,2026/6/26,2026/3/31,0.11.24,"総資産と純資産+負債が大きく不一致(総資産=33002651000000.0, 純資産=7955554000000.0, 負債=135465000000.0)",yes,operating_company_candidate,3.30027E+13,7.95555E+12,1.35465E+11,0.2411,6.16751E+11,1.34863E+12,5.31255E+11,1.39056E+12,-4.02738E+11,-6.42094E+11,2.33241E+12,0.0706,42.4,14871103,14.8,,8.87228E+12,1339,,,,,,保険,0.79,コンサル,0.08,証券,0.06,保険:0.79 | コンサル:0.08 | 証券:0.06,"保険, 損害保険, 生命保険, 証券, 再保険, コンサルティング, コンサル, 戦略",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:7010001079324,7.01E+12,塩水港精糖株式会社,E00361,21120,2026/6/25,2026/3/31,0.11.24,,yes,operating_company_candidate,31813000000,20603000000,11209000000,0.648,3047000000,3339000000,2765000000,2658000000,-1132000000,-1928000000,2892000000,0.149,45.1,7097000,17,49000000,32982000000,44,,,,,,バイオ/創薬,0.44,証券,0.19,食品/飲料,0.14,バイオ/創薬:0.44 | 証券:0.19 | 食品/飲料:0.14,"バイオ, 証券, 飲料, 保険, 賃貸, 食品, 材料, 物流",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:7010001079968,7.01E+12,株式会社ストライク,E32380,61960,2025/12/17,2025/9/30,0.11.24,,yes,operating_company_candidate,24763151000,21474522000,3288628000,0.867,6332319000,6341778000,4719993000,3847407000,-314302000,-1742784000,20149284000,0.236,33.2,15210000,2.5,,20314153000,452,0.09,,0.347,0.373,1.495,コンサル,0.55,インターネット/メディア,0.15,人材/アウトソーシング,0.12,コンサル:0.55 | インターネット/メディア:0.15 | 人材/アウトソーシング:0.12,"コンサル, コンサルティング, インターネット, 戦略, 人材, 広告, 証券, 教育",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:7010001084761,7.01E+12,宮地エンジニアリンググループ株式会社,E01461,34310,2026/6/24,2026/3/31,0.11.24,,yes,operating_company_candidate,82021000000,49988000000,32032000000,0.522,4525000000,4830000000,3264000000,10944000000,-4095000000,-10980000000,12370000000,0.078,51.8,11235252,22.8,315000000,56659000000,25,0,,0.461,0.42,,建設,0.35,プラント/エンジニアリング,0.18,素材/材料,0.07,建設:0.35 | プラント/エンジニアリング:0.18 | 素材/材料:0.07,"エンジニアリング, 建設, 施工, 建築, 証券, 計測, 鉄道, 材料",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:7010001085545,7.01E+12,株式会社ジーダット,E05669,38410,2026/6/12,2026/3/31,0.11.24,,yes,operating_company_candidate,4326881000,3612400000,714481000,0.8349,260562000,251259000,172108000,378483000,-25966000,-153973000,2744320000,0.0478,47.8,6524583,12,347000000,2041604000,130,,,,,,半導体,0.41,ソフトウェア,0.21,コンサル,0.09,半導体:0.41 | ソフトウェア:0.21 | コンサル:0.09,"半導体, ソフトウェア, コンサル, LSI, 電子部品, 受託開発, 集積回路, 証券",matched,corporate_number,32,株式会社ジーダット,7.01E+12,,G:情報通信業,13:東京都,127人,,,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,company_name,26,株式会社ジーダット,7010001085545,,情報通信業,情報通信業,東京都,101～300人,,,,,,,,11.1,,,,,,,,,2024年11月26日
corporate_number:7010001085875,7.01E+12,株式会社ウェッジホールディングス,E00745,23880,2025/12/26,2025/9/30,0.11.24,,yes,operating_company_candidate,3684956000,2970605000,714350000,0.788,-91283000,-297480000,-226643000,-16073000,1172131000,-9856000,1657300000,-0.077,40.3,4708000,11,,816181000,49,,,,,,ゲーム,0.34,証券,0.23,小売,0.13,ゲーム:0.34 | 証券:0.23 | 小売:0.13,"証券, コンテンツ, ゲーム, 小売, トレーディング, 卸売, 銀行, ソフトウェア",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:7010001086980,7.01E+12,乾汽船株式会社,E04288,93080,2026/6/18,2026/3/31,0.11.24,,yes,operating_company_candidate,78698000000,37415000000,41283000000,0.475,2158000000,1956000000,833000000,4445000000,-4446000000,-584000000,18735000000,0.022,44,8865000,14,,33636000000,82,0.05,,0.6393,,,不動産/デベロッパー,0.29,空運/海運/陸運,0.26,物流,0.22,不動産/デベロッパー:0.29 | 空運/海運/陸運:0.26 | 物流:0.22,"海運, 不動産, 倉庫, 自動車, 賃貸, 証券, 物流, 建設",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:7010001087640,7.01E+12,メディカル・データ・ビジョン株式会社,E31056,39020,2026/3/24,2025/12/31,0.11.24,,yes,operating_company_candidate,4778436000,3111239000,1667197000,0.644,349464000,360721000,280242000,782205000,-96927000,-319328000,1713216000,0.091,39.3,6218000,6.5,60052000,6539159000,286,0.121,0.889,0.666,0.669,,クラウド/SaaS,0.27,医薬品,0.27,医療/介護,0.15,クラウド/SaaS:0.27 | 医薬品:0.27 | 医療/介護:0.15,"製薬, クラウド, 病院, プラットフォーム, アプリケーション, 計測, 医薬品, 証券",matched,corporate_number,64,メディカル・データ・ビジョン株式会社,7.01E+12,,G:情報通信業,13:東京都,170人,,,,,,,,57.5,57.6,,,,8.3,,75,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,44,メディカル・データ・ビジョン株式会社,7010001087640,3902,情報通信業,情報通信業,東京都,101～300人,プライム（東証）,75.0,100.0,,,,8.3,,57.5,57.6,,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,,2025年10月10日
corporate_number:7010001089380,7.01E+12,株式会社エフティグループ,E03405,27630,2026/6/29,2026/3/31,0.11.24,,yes,operating_company_candidate,45345000000,35287000000,6433000000,0.778,8935000000,5559000000,6461000000,4058000000,-3285000000,-2532000000,18057000000,0.198,44.86,6116975,14,,31579000000,54,0.09,,0.491,0.523,0.614,電力,0.41,小売,0.19,建設,0.1,電力:0.41 | 小売:0.19 | 建設:0.10,"電力, 小売, 発電, 施工, インターネット, 通信サービス, 証券, 電気事業",matched,corporate_number,27,株式会社エフティグループ,7.01E+12,,I:卸売業，小売業,13:東京都,285人,,,,,,,,52.9,55.7,80.1,,,9,,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,company_name,27,株式会社エフティグループ,7010001089380,,卸売業、小売業,その他卸売業、小売業,東京都,101～300人,,,,,,,9.0,,52.9,55.7,80.1,,,,,,2024年11月27日
corporate_number:7010001098357,7.01E+12,フィードフォースグループ株式会社,E34995,70680,2025/8/25,2025/5/31,0.11.24,,yes,operating_company_candidate,7653000000,3321000000,4331000000,0.42,1592000000,1527000000,1002000000,1405000000,-43000000,-651000000,4233000000,0.334,40.1,7018016,6.3,,4373000000,6,,,,,,クラウド/SaaS,0.25,広告/マーケティング,0.24,インターネット/メディア,0.16,クラウド/SaaS:0.25 | 広告/マーケティング:0.24 | インターネット/メディア:0.16,"SaaS, マーケティング, 広告, インターネット, クラウド, DX, プラットフォーム, EC",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:7010001100444,7.01E+12,株式会社マイネット,E31991,39280,2026/3/27,2025/12/31,0.11.24,,yes,operating_company_candidate,4688878000,1521161000,3167717000,0.324,374476000,308091000,228133000,803357000,-326943000,-492882000,2372984000,0.156,38.7,6566976,6.9,,7478296000,227,0.126,,0.788,0.782,0.95,ゲーム,0.37,コンサル,0.29,SI/ITサービス,0.09,ゲーム:0.37 | コンサル:0.29 | SI/ITサービス:0.09,"ゲーム, コンサルティング, コンサル, リース, 受託開発, 証券, 人材, 戦略",matched,corporate_number,41,株式会社マイネット,7.01E+12,,G:情報通信業,13:東京都,270人,,,,,,,,79.1,77.4,88,,,,,100,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,34,株式会社マイネット,7010001100444,3928,情報通信業,情報通信業,東京都,101～300人,スタンダード（東証）,100.0,100.0,,,,,,79.1,77.4,88.0,,在宅勤務・テレワーク,短時間勤務制度,,年次有給休暇時間単位取得制度,2026年01月27日
corporate_number:7010001101459,7.01E+12,株式会社インテージホールディングス,E05239,43260,2025/9/24,2025/6/30,0.11.24,,yes,operating_company_candidate,46922658000,33321053000,13601605000,0.706,4241171000,4131017000,3505060000,6429839000,910794000,-2734274000,16492126000,0.1073,48.6,8969000,14.4,,65571087000,71,,,,,,医薬品,0.35,広告/マーケティング,0.19,ソフトウェア,0.12,医薬品:0.35 | 広告/マーケティング:0.19 | ソフトウェア:0.12,"マーケティング, 医薬品, ソフトウェア, 医療用医薬品, 製薬, BPO, データセンター, 証券",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:7010001101599,7.01E+12,マーチャント・バンカーズ株式会社,E00545,31210,2026/1/28,2025/10/31,0.11.24,,yes,operating_company_candidate,15440046000,4652724000,10787322000,0.301,285230000,-31856000,-85849000,2357306000,-1302801000,-775866000,1445362000,0.019,52,7053000,12.2,,3383239000,2,,,,,,不動産/デベロッパー,0.58,証券,0.24,人材/アウトソーシング,0.1,不動産/デベロッパー:0.58 | 証券:0.24 | 人材/アウトソーシング:0.10,"不動産, 証券, 人材, 再生可能エネルギー, 賃貸, 金融商品取引",matched,corporate_number,21,マーチャント・バンカーズ株式会社,7.01E+12,,R:サービス業（他に分類されないもの）,13:東京都,123人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,19,マーチャント・バンカーズ株式会社,7010001101599,3121,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,東京都,101～300人,,,,,,,,,,,,,,,,,
corporate_number:7010001101896,7.01E+12,株式会社コマースＯｎｅホールディングス,E35589,44960,2026/6/24,2026/3/31,0.11.24,,yes,operating_company_candidate,3627899000,2625902000,1001997000,0.721,380704000,472398000,302311000,312720000,-82823000,-236941000,1875566000,0.118,39,7315000,6.24,,3895734000,7,,,,,,クラウド/SaaS,0.27,ソフトウェア,0.18,広告/マーケティング,0.12,クラウド/SaaS:0.27 | ソフトウェア:0.18 | 広告/マーケティング:0.12,"SaaS, ソフトウェア, リース, クラウド, マーケティング, EC, プラットフォーム, 店舗",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:7010001105955,7.01E+12,株式会社ティーケーピー,E20616,34790,2026/5/29,2026/2/28,0.11.24,,yes,operating_company_candidate,1.70851E+11,57309000000,1.13541E+11,0.293,10301000000,9098000000,12293000000,13967000000,1843000000,15043000000,45383000000,0.269,36.2,4261408,4.4,,1.14357E+11,1368,0.143,1,0.809,0.83,0.878,不動産/デベロッパー,0.18,コンサル,0.16,外食,0.13,不動産/デベロッパー:0.18 | コンサル:0.16 | 外食:0.13,"不動産, ホテル, コンサルティング, レストラン, マーケティング, 建築, 賃貸, コンサル",matched,corporate_number,123,株式会社ＴＫＰ,7.01E+12,,K:不動産業，物品賃貸業,13:東京都,1362人,,,80.5,80.2,,12.6,,80.9,83,87.8,,,14.3,37.5,100,100,,,,,,,,,,,,,1:有,0:無,1:有,0:無,0:無,matched,security_code,92,株式会社TKP,7010001105955,3479,不動産業、物品賃貸業,不動産業、物品賃貸業,東京都,1001～5000人,グロース（東証）,100.0,100.0,12.6,80.5,80.2,14.3,37.5,80.9,83.0,87.8,,,短時間勤務制度,病気・不妊治療休暇,,2026年04月13日
corporate_number:7010001108108,7.01E+12,株式会社エスクロー・エージェント・ジャパン,E30476,60930,2026/5/22,2026/2/28,0.11.24,,yes,operating_company_candidate,4741590000,3498031000,1243559000,0.734,323403000,316843000,189442000,384213000,-579628000,-305515000,2292156000,0.054,41.4,4915000,5.4,,5078141000,152,0.441,,0.658,0.732,0.405,不動産/デベロッパー,0.27,クラウド/SaaS,0.18,建設,0.13,不動産/デベロッパー:0.27 | クラウド/SaaS:0.18 | 建設:0.13,"不動産, クラウド, 建築, DX, コンサルティング, 証券, コンサル, パッケージ",matched,corporate_number,63,ミトラグループ株式会社,7.01E+12,,R:サービス業（他に分類されないもの）,13:東京都,180人,,,,,,18.5,,65.8,73.2,40.5,,,44.1,,,,,,,,,,,,,,,,1:有,0:無,0:無,0:無,0:無,matched,security_code,49,ミトラグループ株式会社,7010001108108,6093,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,東京都,101～300人,スタンダード（東証）,,,18.5,,,44.1,,65.8,73.2,40.5,,在宅勤務・テレワーク,短時間勤務制度,,,2026年06月30日
corporate_number:7010001115847,7.01E+12,株式会社トランザクション・メディア・ネットワークス,E38491,52580,2026/6/24,2026/3/31,0.11.24,,yes,operating_company_candidate,28547899000,6565665000,21982234000,0.228,642000,-73575000,-60522000,1167936000,-3584126000,2354130000,14007157000,0.003,41.4,7390000,5.5,,13276989000,296,5.9,2,0.703,0.724,0.399,小売,0.24,クラウド/SaaS,0.15,リース/信販,0.15,小売:0.24 | クラウド/SaaS:0.15 | リース/信販:0.15,"クラウド, 小売, クレジット, 人材, エンジニアリング, 受託開発, 店舗, リース",matched,corporate_number,49,株式会社トランザクション・メディア・ネットワークス,7.01E+12,,R:サービス業（他に分類されないもの）,13:東京都,319人,,,,,,,,66.6,69,34.2,,,6,,200,100,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,security_code,33,株式会社トランザクション・メディア・ネットワークス,7010001115847,5258,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,東京都,301～500人,グロース（東証）,200.0,100.0,,,,6.0,,66.6,69.0,34.2,,,,,,2026年05月22日
corporate_number:7010001126191,7.01E+12,株式会社イー・ロジット,E36405,93270,2026/6/25,2026/3/31,0.11.24,,yes,operating_company_candidate,4155866000,2068525000,2087341000,0.486,-132657000,-185490000,-209376000,-148679000,-34529000,1367996000,1275996000,-0.167,40.2,4882000,5.2,,9550970000,170,0.146,,0.687,0.706,0.973,コンサル,0.3,物流,0.21,人材/アウトソーシング,0.21,コンサル:0.30 | 物流:0.21 | 人材/アウトソーシング:0.21,"物流, コンサルティング, BPO, コンサル, 戦略, アウトソーシング, EC, 倉庫",matched,corporate_number,55,株式会社イー・ロジット,7.01E+12,,R:サービス業（他に分類されないもの）,13:東京都,684人,,,,,,,,69.8,70.6,97.3,,,13.6,,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,43,株式会社イー・ロジット,7010001126191,9327,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,東京都,501～1000人,スタンダード（東証）,,,,,,13.6,,69.8,70.6,97.3,,,,,,2026年06月01日
corporate_number:7010001127462,7.01E+12,モジュレ株式会社,E05600,,2025/8/29,2025/5/31,0.11.24,,yes,operating_company_candidate,809040000,311802000,497237000,0.385,-11682000,22653000,9319000,31200000,-18969000,4473000,382781000,0.03,,4700000,7,,1113546000,18,,,,,,ソフトウェア,0.39,SI/ITサービス,0.19,コンサル,0.13,ソフトウェア:0.39 | SI/ITサービス:0.19 | コンサル:0.13,"ソフトウェア, 情報システム, パッケージ, 証券, リース, 戦略, 業務改革, 賃貸",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matched,company_name,34,モジュレ株式会社,,,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,東京都,10～100人,,,,17.2,,52.3,16.7,30.0,,,,,,,,,2016年11月29日
corporate_number:7010001128155,7.01E+12,レック株式会社,E02444,78740,2026/6/24,2026/3/31,0.11.24,,yes,operating_company_candidate,93805000000,38805000000,54999000000,0.4,4136000000,4429000000,2978000000,9030000000,2504000000,-1107000000,24178000000,0.083,38.6,5685000,11.1,1764000000,68294000000,703,0.17,0.25,0.536,0.779,0.505,アパレル/化粧品,0.29,証券,0.2,機械,0.19,アパレル/化粧品:0.29 | 証券:0.20 | 機械:0.19,"衣料, 証券, 物流, 機械装置, 保険, 材料, 機械",matched,corporate_number,60,レック株式会社,7.01E+12,,E:製造業,13:東京都,1024人,,,,,,,,53.6,77.9,50.5,,,17,,25,107.6,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:7010001128717,7.01E+12,株式会社ＩＡＣＥトラベル,E40408,343A0,2026/6/22,2026/3/31,0.11.24,,yes,operating_company_candidate,5774877000,4290677000,1484200000,0.743,754129000,755140000,529739000,454529000,3387000,-133160000,1512388000,0.148,40,5322000,16,,3015280000,114,0.233,0.75,0.701,0.75,0.786,旅行/レジャー,0.27,重工/造船/航空,0.19,クラウド/SaaS,0.14,旅行/レジャー:0.27 | 重工/造船/航空:0.19 | クラウド/SaaS:0.14,"旅行, 航空, クラウド, リース, 観光, ソフトウェア, 店舗, 証券",matched,corporate_number,39,株式会社ＩＡＣＥトラベル,7.01E+12,,N:生活関連サービス業，娯楽業,13:東京都,141人,,,64.7,,,24,,,,,,,23.3,,,,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,company_name,30,株式会社ＩＡＣＥトラベル,7010001128717,343A,生活関連サービス業、娯楽業,生活関連サービス業、娯楽業,東京都,101～300人,スタンダード（東証）,,,24.0,64.7,,23.3,,,,,,,,,,2026年06月24日
